,A,B,R_val,R_z_score,R_p_val
2370,Ionocyte_n_Brush,SMG_Duct,0.001322975765301273,0.35835403439144997,0.3600391928770658
656,CD4_EM_Effector,Myoepithelial,0.0013003206003252264,0.35221743689518265,0.36233760051921055
1185,Ciliated,Muscle_perivascular_immune_recruiting,0.0012744692003663995,0.34521507622245867,0.3649663427421377
513,B_plasmablast,Myoepithelial,0.0011518771006331584,0.3120085922670086,0.3775169966962971
1501,Deuterosomal,Schwann_nonmyelinating,0.0009751751340033853,0.2641453854816125,0.39583394642182324
579,Basal,Muscle_airway,0.0008133831071516996,0.22032082945018114,0.41281064956899166
1572,Dividing_Basal,Fibro_adventitial,0.0007886649810299148,0.21362543830949673,0.41541958019806596
2159,Fibro_immune_recruiting,SMG_Basal,0.00043945007837995956,0.11903370615805331,0.45262432598005214
3107,SMG_Basal,SMG_Serous,0.00036786702684135007,0.09964402723444112,0.4603134695311616
2588,Macro_alv,SMG_Basal,0.00021341153011937545,0.0578067148391906,0.47695129472862846
1654,Endothelia_Lymphatic,Muscle_smooth_pulmonary,0.0001275082845345806,0.03453812940473213,0.4862240188031241
2743,Megakaryocyte,SMG_Basal,-2.1840886076267864e-05,-0.005916034023746681,0.5023601423370739
2475,Macro_interstitial,Myoepithelial,-4.3116626711535856e-05,-0.011678987277526183,0.5046591359003209
2926,Muscle_pericyte_parenchyma,Suprabasal,-0.00022970525511788905,-0.06222019106575814,0.5248062582521316
2887,Muscle_pericyte_airway,Muscle_smooth_syst_arterial,-0.00023259653328983005,-0.06300335068563753,0.5251180819185908
2655,Macro_int,SMG_Mucous,-0.00039281724647805406,-0.1064022854733814,0.5423684100861407
2511,Macro_AW_CX3CR1,Myoepithelial,-0.0004416541165525257,-0.11963071329288315,0.5476121556258221
664,CD4_EM_Effector,SMG_Basal,-0.00078215073871273,-0.2118609275175435,0.5838922330304653
598,Basal,Schwann_nonmyelinating,-0.0008648042993514287,-0.2342492718005932,0.5926042672311608
3118,SMG_Duct,Schwann_nonmyelinating,-0.0009126722989375286,-0.24721526197201624,0.5976291827641762
2023,Erythrocyte,SMG_Mucous,-0.001202114332859022,-0.32561633574725196,0.627642674450554
1188,Ciliated,Myoepithelial,-0.0012027895671304965,-0.32579923624451634,0.6277118716892639
291,B_naive,Myoepithelial,-0.001267210367356901,-0.343248878381083,0.6342943819262603
3044,NK_CD16hi,SMG_Basal,-0.0012763544322847219,-0.3457257284062804,0.6352255766129787
2939,Muscle_perivascular_immune_recruiting,SMG_Basal,-0.0014067653111660043,-0.3810500826396325,0.6484169568485498
1975,Endothelia_vascular_venous_systemic,SMG_Mucous,-0.0014710756036295694,-0.39846979157282264,0.6548580392592904
