,A,B,R_val,R_z_score,R_p_val
2104,Fibro_alveolar,Muscle_smooth_pulmonary,0.00772859552858064,2.09344226892614,0.01815484625293004
346,B_plasma_IgA,Macro_CHIT1,0.007547018832289283,2.0442586456322838,0.020464001155879135
2330,ILC,SMG_Duct,0.007422323636531569,2.0104824967102872,0.022190073454492157
1429,DC_plasmacytoid,Muscle_smooth_syst_arterial,0.007338856479060238,1.9878737737060328,0.023412825979759945
1737,Endothelia_vascular_Cap_g,Fibro_myofibroblast,0.007315829708321125,1.9816365194722116,0.023759968380717488
1191,Ciliated,NK_CD16hi,0.007267523659732235,1.96855187510354,0.024502286774456098
2653,Macro_int,SMG_Basal,0.007211873524006781,1.95347794013459,0.02538149437118398
1654,Endothelia_Lymphatic,Muscle_smooth_pulmonary,0.006989236121525632,1.8931722161159916,0.029167485484345328
2011,Erythrocyte,Muscle_smooth_pulmonary,0.006935095477747713,1.878507156761749,0.030155909470504838
2473,Macro_interstitial,Muscle_smooth_pulmonary,0.0066667928587962905,1.8058321097497283,0.03547228411409331
2975,Muscle_smooth_syst_arterial,NK_CD11d,0.006595133598150235,1.7864217880888664,0.03701549520889501
329,B_plasma_IgA,Endothelia_Lymphatic,0.0062817859969246,1.7015454207273535,0.04442030818244186
2868,Muscle_airway,NK_CD16hi,0.0058054275885449915,1.5725143666927024,0.0579156549827916
938,CD8_EM_EMRA,SMG_Basal,0.0056727497702246795,1.536575967278022,0.062198590751484775
2207,Fibro_myofibroblast,Schwann_Myelinating,0.005664023105146618,1.5342121782204088,0.062488731297474225
1924,Endothelia_vascular_venous_pulmonary,SMG_Basal,0.005439391345930385,1.4733662434127863,0.07032615369301268
336,B_plasma_IgA,Erythrocyte,0.005430779293557145,1.4710334994629088,0.07064102878137643
3045,NK_CD16hi,SMG_Duct,0.005382711578969246,1.4580134125510162,0.07241842303366249
351,B_plasma_IgA,Macro_dividing,0.005255594786455487,1.4235813264682957,0.07728385228427671
3145,Schwann_nonmyelinating,Secretory_Club,0.004960280437180719,1.3435896204583224,0.08954056388432247
1761,Endothelia_vascular_Cap_g,Muscle_smooth_pulmonary,0.004723372841826187,1.279418533731015,0.10037485535823515
1103,Chondrocyte,Ionocyte_n_Brush,0.00456380367445143,1.2361960829552772,0.10819284318063904
3153,Secretory_Club,gdT,0.0045137898654677225,1.2226488580592008,0.11073117548962991
2717,Mast_cell,SMG_Serous,0.004503176855561693,1.2197741153642763,0.11127525823467921
1244,DC_1,Muscle_airway,0.0042681889008241184,1.1561230010942964,0.12381542452614103
2184,Fibro_myofibroblast,Megakaryocyte,0.004251137883182054,1.1515043972447223,0.12476239363854186
290,B_naive,Muscle_smooth_syst_arterial,0.004038031356545825,1.0937802986042224,0.13702567339235816
1588,Dividing_Basal,Macro_CCL,0.0035817835392540796,0.9701965941275514,0.1659742540423907
58,AT1,Muscle_smooth_pulmonary,0.003517461110934104,0.952773597958707,0.17035239707253286
2252,Fibro_peribronchial,Secretory_Club,0.0031651504732872187,0.8573433250307407,0.1956275856002741
2021,Erythrocyte,SMG_Basal,0.003034313783951724,0.8219036316519899,0.20556587295551126
1708,Endothelia_vascular_Cap_a,Muscle_smooth_pulmonary,0.0030090183746935314,0.8150518720075554,0.2075213093880216
1679,Endothelia_vascular_Cap_a,Endothelia_vascular_venous_systemic,0.0029266476656543867,0.792740143649372,0.2139646182652543
2700,Mast_cell,Muscle_airway,0.002884984096887838,0.7814547457258217,0.21726754156560335
350,B_plasma_IgA,Macro_alv,0.0028411156601696073,0.7695721159054303,0.22077687542553348
2621,Macro_dividing,SMG_Basal,0.002630278644827554,0.7124627590838627,0.23808913229202516
2883,Muscle_airway,gdT,0.002476048422047736,0.6706864665713134,0.2512101430313526
2436,Macro_CHIT1,Muscle_smooth_pulmonary,0.002414885915692045,0.654119397482891,0.2565174426610145
